_id,category,productId
H4G8dcRJzSBpYa7Ws,Jb2Zj4kozwCJA2m67,H4G8dcRJzSBpYa7Ws
BiTXs4qjehEtyHwse,i9gtnx6AmejAJ6mzK,BiTXs4qjehEtyHwse
u5hsqbwopxhojeeQP,N5kXtazLjiBoisoMW,u5hsqbwopxhojeeQP
vRmZGTZadSzTB8k9s,N5kXtazLjiBoisoMW,vRmZGTZadSzTB8k9s
3hJBXS4zzRDrcLjBH,N5kXtazLjiBoisoMW,3hJBXS4zzRDrcLjBH
nsKS32YW5uSBd7EvF,N5kXtazLjiBoisoMW,nsKS32YW5uSBd7EvF
y6HvEFzNywGCofXmd,N5kXtazLjiBoisoMW,y6HvEFzNywGCofXmd
AAN9FuMviTRPoZ44Z,GaaG495CesFGRr3Lj,AAN9FuMviTRPoZ44Z
ZDH85dwMPJ7ZfX7wj,N5kXtazLjiBoisoMW,ZDH85dwMPJ7ZfX7wj
EoKn6rSyrmCtiQGwp,3HriQhzZeArWiszXR,EoKn6rSyrmCtiQGwp
TTrjLmMN6jdpkrBRH,5eKarQG9dk5xDn782,TTrjLmMN6jdpkrBRH
4zWLDnWG65piEYEuC,5ZMGpNamiynmAyKd9,4zWLDnWG65piEYEuC
CKKeLGcQM4Ra8XbkK,PdN6r5ekhvSgxpNfS,CKKeLGcQM4Ra8XbkK
v9xLE32W5jBQvpfud,5ZMGpNamiynmAyKd9,v9xLE32W5jBQvpfud
Poxb3HE4XrB3NL6cH,bovsciQ2gbLMi8wT9,Poxb3HE4XrB3NL6cH
gAP9tevDcpjyYzDdY,N5kXtazLjiBoisoMW,gAP9tevDcpjyYzDdY
xCQ7Wyn5kdKJkxEZN,BsCK5EMCffnjAkRSM,xCQ7Wyn5kdKJkxEZN
QQttDPbxzer5EG4eP,BsCK5EMCffnjAkRSM,QQttDPbxzer5EG4eP
i73ZWaJxhyy8vNMfK,BsCK5EMCffnjAkRSM,i73ZWaJxhyy8vNMfK
kDsaeeo4BpnNAJB7v,BsCK5EMCffnjAkRSM,kDsaeeo4BpnNAJB7v
Xb6Xt7TTm66CFJhF3,BsCK5EMCffnjAkRSM,Xb6Xt7TTm66CFJhF3
iYKuhSEZyydWawjcb,BsCK5EMCffnjAkRSM,iYKuhSEZyydWawjcb
csJB4uEnvfSEbz8qP,PdN6r5ekhvSgxpNfS,csJB4uEnvfSEbz8qP
MYEcPxknBcNC5WsvR,c2jQt99DA23rBKJN5,MYEcPxknBcNC5WsvR
xoNCdzwGZLAXfvdYi,XsExfkHM5ed2GBHw5,xoNCdzwGZLAXfvdYi
tKWj7tcR3BFA5gaN3,BsCK5EMCffnjAkRSM,tKWj7tcR3BFA5gaN3
zDpTohdLCpJfdwpYh,BsCK5EMCffnjAkRSM,zDpTohdLCpJfdwpYh
BKwxi8YCu5vrCJuRj,BsCK5EMCffnjAkRSM,BKwxi8YCu5vrCJuRj
qon8LWjEDsAxLaBfc,BsCK5EMCffnjAkRSM,qon8LWjEDsAxLaBfc
P2kYqgy729QT6acyz,BsCK5EMCffnjAkRSM,P2kYqgy729QT6acyz
FX3vZENZnb4C9jmqG,BsCK5EMCffnjAkRSM,FX3vZENZnb4C9jmqG
uxmapZzgfAWXFhSTs,BsCK5EMCffnjAkRSM,uxmapZzgfAWXFhSTs
KmSMNY8EJqeXKdARe,BsCK5EMCffnjAkRSM,KmSMNY8EJqeXKdARe
Tgs8ucrbMjnbFATGS,BsCK5EMCffnjAkRSM,Tgs8ucrbMjnbFATGS
ob3dmEYjPhBMfKgbr,BsCK5EMCffnjAkRSM,ob3dmEYjPhBMfKgbr
kJ37jgL4YcnELf3Xu,BsCK5EMCffnjAkRSM,kJ37jgL4YcnELf3Xu
8GWBhgBdNAe6wcH2b,BsCK5EMCffnjAkRSM,8GWBhgBdNAe6wcH2b
8GWBhgBdNAe6wcH2b,BNLMc3u42AoZBRWXe,8GWBhgBdNAe6wcH2b
BTcmD76z95cxn2sg8,89cBkQJRAoEL4gxyZ,BTcmD76z95cxn2sg8
ts8vGsBfkhbRcMFPp,t6FFXEPjQZLoX8GSM,ts8vGsBfkhbRcMFPp
EXv6MGQkmJWePGjRf,qnLPXbGaR2SsrRDKc,EXv6MGQkmJWePGjRf
tkCqJqay8iqDPfCsy,KBgBdiS2cMeJGnKA8,tkCqJqay8iqDPfCsy
3di6C98jmuEE23dgn,tsf9okLs2in2GBHSq,3di6C98jmuEE23dgn
FzE5Xq9ErXNmrxBZq,tsf9okLs2in2GBHSq,FzE5Xq9ErXNmrxBZq
e6yeHDGj34djaAweN,KBgBdiS2cMeJGnKA8,e6yeHDGj34djaAweN
rXvri69XXPFMY6gnm,tsf9okLs2in2GBHSq,rXvri69XXPFMY6gnm
s6y7RPHyFEkQPaLRQ,tsf9okLs2in2GBHSq,s6y7RPHyFEkQPaLRQ
ojcqaqnyJj6JFKpkC,bSQrC6HQtZ2nXaDr9,ojcqaqnyJj6JFKpkC
WB7wdxPJQSCZsbAdh,N5kXtazLjiBoisoMW,WB7wdxPJQSCZsbAdh
xjhELNDJWop2GjH4B,N5kXtazLjiBoisoMW,xjhELNDJWop2GjH4B
mNQGg8JfauboaBSLz,N5kXtazLjiBoisoMW,mNQGg8JfauboaBSLz
SgT7inKQvNHXr8NXi,5ZMGpNamiynmAyKd9,SgT7inKQvNHXr8NXi
vh78ELmrrds5sfBd6,vSZi4ketZvgcCN7Qx,vh78ELmrrds5sfBd6
2jKnjj8DMsfoNc6NN,36vL4oiyydM68Mkyu,2jKnjj8DMsfoNc6NN
2jKnjj8DMsfoNc6NN,x6gEaBuQnwHgSBNY3,2jKnjj8DMsfoNc6NN
2jKnjj8DMsfoNc6NN,Kive8CqkAqMybxcbo,2jKnjj8DMsfoNc6NN
7YRpZ9sjj9hytkS54,vSZi4ketZvgcCN7Qx,7YRpZ9sjj9hytkS54
