productId,userId,rating
BiTXs4qjehEtyHwse,,
u5hsqbwopxhojeeQP,,
vRmZGTZadSzTB8k9s,,
3hJBXS4zzRDrcLjBH,,
nsKS32YW5uSBd7EvF,,
y6HvEFzNywGCofXmd,,
EoKn6rSyrmCtiQGwp,,
TTrjLmMN6jdpkrBRH,,
4zWLDnWG65piEYEuC,,
CKKeLGcQM4Ra8XbkK,,
v9xLE32W5jBQvpfud,,
Poxb3HE4XrB3NL6cH,,
gAP9tevDcpjyYzDdY,,
xCQ7Wyn5kdKJkxEZN,,
QQttDPbxzer5EG4eP,,
i73ZWaJxhyy8vNMfK,,
kDsaeeo4BpnNAJB7v,,
Xb6Xt7TTm66CFJhF3,,
iYKuhSEZyydWawjcb,,
csJB4uEnvfSEbz8qP,,
MYEcPxknBcNC5WsvR,,
xoNCdzwGZLAXfvdYi,,
tKWj7tcR3BFA5gaN3,,
zDpTohdLCpJfdwpYh,,
BKwxi8YCu5vrCJuRj,,
qon8LWjEDsAxLaBfc,,
P2kYqgy729QT6acyz,,
FX3vZENZnb4C9jmqG,,
uxmapZzgfAWXFhSTs,,
KmSMNY8EJqeXKdARe,,
Tgs8ucrbMjnbFATGS,,
ob3dmEYjPhBMfKgbr,,
kJ37jgL4YcnELf3Xu,,
8GWBhgBdNAe6wcH2b,,
BTcmD76z95cxn2sg8,,
ts8vGsBfkhbRcMFPp,43FcEozcNe9Zq3mGW,5
ts8vGsBfkhbRcMFPp,tLNdr8FDL2LXtErJy,5
EXv6MGQkmJWePGjRf,,
ojcqaqnyJj6JFKpkC,,
WB7wdxPJQSCZsbAdh,,
xjhELNDJWop2GjH4B,,
mNQGg8JfauboaBSLz,,
SgT7inKQvNHXr8NXi,,
24r9wkFXcsLGXfA7m,,
D34kAkEvys7Bj2xzu,,
ZktYGXov99NcqkcoC,,
m5uvZedS5hRp3EQtJ,,
4oGDDfsQtTSKH5cxd,,
rcjJ7uQvBSLZtAZam,,
AWkcNzdctkHTH5qfn,,
YBWyd5AYaWTjvpQnm,,
xKhuwCPYYQPkQ6XSW,2vczXSkuWnmdSRFEa,5
CZK2kBc8izkADT5mJ,,
PN9W9ioHQQD2aWAP6,,
4EjgSgFWR4nod7EPu,,
TfBrsnMdfK6PERxF5,,
rXpoBH3xqsA6Rvcux,,
itjGm8SzgMSw3wqfm,,
u7pyCPKXSZFoALCJT,,
gYHkZnwKfgcS6HSR8,,
WvNfGc7NvwqhoFr42,,
m6ofrWEKQbS95dmN3,,
dbwRPvZEvKKba2K7A,,
p4NoJdeKsRpoMskB3,,
yA765ELQ4zdqxNqnc,,
tPzYN93ncEK6TydRh,,
MNAvrYXyFsHpCvMxn,,
vLBZ5ZZroWrP8eLdo,,
ALfjyLLmP5jek94T2,,
oF48eNjTBhsW9L93F,,
7hN7QaxB6vEHLEEfM,,
8u4qbKqPn939JMnMg,,
Zm7TusZPyN5K5fNw5,,
rNQSh7tSL28gA6zrx,,
wtpweaEPBEQ7wJGW4,,
KakXG42Q33XbfukK7,,
bsqhEoWrcGtfbMKZt,,
dEnsEd6XCCxq57ypK,,
znpSbdLyTKYqSaQso,,
e8WaeNkeNqTJbtwAA,,
zy5D43EokzptJbLsp,,
Cb3R42nk7Nq779iHt,,
2yxayjgnGJGB3y9FX,,
XEzCbtN8pzm8KqQwR,2vczXSkuWnmdSRFEa,5
DcK7aNf9yqDxe8tn7,,
7WrGrDumXQbeSNtKm,,
uLcFRvmfpuHhbWGir,,
4hhZmf3tqS4SpAGMv,,
LXoEYinRDntThaSCH,,
EEs8mKerREzgMfY5F,,
AsPzPJjEFibtGXEMi,,
gxA9ax7SK6fSDMTsG,,
w7A3WRFGAb4SSjHYt,,
SsKBoWCbtQECA2dyu,,
MAn4W7bHsHZPYBxfg,SqqyJTMTHKRPFEo7F,1
Zvf8JKFrmgTMsZ4bM,,
hQD6dgHfQ5FwsSCqv,,
GR9TgzKsd69HQEA7Q,,
5ttmbceRbCJFurcyx,,
HPgDhx76gb8a5X4Em,,
THzsvqduCow96eCkx,,
QzKWCykWHDuDpxvu2,,
EzRMx9irsexpzNq3q,,
DArwDrQSLHRyoy5Xi,,
AZecu39Xs9tw9zqG3,,
3ejeSSwcomrbhYdWk,,
wa8vonEaAQt2xxC2k,,
tamK3amsBatt7p9o6,,
r9dnqGhJs9rpYxfrg,,
S6Qn7PLyDodPq5XcW,,
zcEX7YBddzkE657Ka,,
FFSzR2jzdcuy2L82r,,
NpjF92dwvM7dmNBXs,,
TAQGEdpZijLMxmzv3,,
bka8Z4kXvDmnB9SMG,,
ywthahKEcb4vY43W8,,
3Mk7dzkYt2qxKqoeM,,
zp6SbsDrgfyCoqQS4,,
kHciD5Z2HZFW8CjtT,,
73A4Y5xoBh7QiDZpH,,
e2GDuLuFHAKWiyZER,,
GH3Y6XTmhrcLL255c,,
ymMkgT763wvkWXfXm,,
CyyMdwr2Fryf4qQFw,,
sxwjRN5zCsaBHcBeS,,
rfuMgHPMASeiehtEh,,
sGfHg7Mf8LTcS3ZKy,,
XYPFmJWD9rixBnWd3,,
TKz5C2bBcqXjJ5cjn,,
oAGQyvzMGTtiBDSsu,,
sGqakM37iqf7dv5bS,,
pNvdkitpqPDiE7cyf,,
dRvnuP39oqZmMT5DZ,,
66fMB8FADywnx2wW3,,
xdSwZQY7wK7jT8mFg,,
TS4kBn2WSreCe3QBR,,
qS7kHnsqXgzYob8T8,,
ABay3YozcsF9SLCtR,,
7GCPuv7DJNffA68A8,,
eaPfHWbakW2GFkJ3m,,
ZXtXxwEuqqyk4G7MJ,,
PjFoZ4K37TXKuLf7F,,
TGfJTebvAiEtqA6uw,,
wid8GoZxZryC7KvvX,,
QApcWXdeLt5vqqxGL,,
HjEQXa2EfNugp8idQ,,
GLCDzrM7fMt4Ntbt3,,
zMjWgGJvJ3hF8gaaT,,
z6LJB4iotPPu6iKW6,,
F38vKGKC8rrdWLLaX,,
FJQoKfy7negMPN8dA,,
dF52ynun4CYdF7Rju,,
HyKftzdbG3ys6SaAC,2vczXSkuWnmdSRFEa,5
eip28aZw2tcCtMWi4,2vczXSkuWnmdSRFEa,5
pWATQmz56sz8igdQT,,
h9xQZWeGFywRMBQKi,,
otXWmMX6vBAMDCgW7,,
JkYocqJaXMPKTg4HR,,
dmqK8i7sy8SM6LRLx,,
zF6XkNiseaTLonSin,,
ZWfrMkTNJEJwibNxL,,
Zph4F9sDYksukEGxj,,
xeCzoHfnEXRwug4hy,,
sh2girWBL6L5u3n94,,
ypY4AvpSscS7PmMkM,,
hwyzdpYsZqqXg3zeg,,
LMv9asjBKFTkFCmaC,,
ewqScwekzWbdRsDLx,AHH8qqchWnYeF57Gb,5
EycRuMfkWTPaCLvit,,
qRez65r7rftaSp3Sv,,
xXx7DunZfjHeFgg6u,,
nHRgZQGgPHmQzS6Y2,,
PNzpY6Fm5DQ2jrwst,,
GQiE2xFiqmNGAwTco,,
nznR3Wv5PQRffRzk3,,
ZiCW7ZpSEdnkAJLxA,,
a5chC7sG6EsKC7Hjw,,
zQhY3DdgjMBgBmwms,,
T9o99CsuMsFBG4jRw,,
KvC9uy42YYf488Xut,,
SnWo36ssDKsK866eQ,,
go2T2d8EnrEqeemeg,,
qutJ9kTo4QcoRaoAG,,
dpmsGogZQRc2XxMsi,,
yyPgfm5jGBSR7rAKY,,
f7q9psXiuvxDneEXc,,
DrEHmfgj58y87FjqH,,
2NHQ5ztZC585ZgW9w,,
hcJLCSJduQFRcwXwy,,
qTFkaN3RErRacT7Kr,,
3KFKLwzGfXtoZrQqi,,
drjei5Q5PNEs24WRC,,
4FHmRYXp4XMG33rbC,,
nANK2iSowExEmMDDn,,
mrPsw2kZA4h8YevpE,,
KeTZ3WzcA6nmtywDs,,
LgPLMzw4KjAH7uCcJ,,
XBj9uLQxNJecCquqL,,
HFahqf3npXAgukzJD,,
Rs2DLTqLykHrDPJzK,,
p5Zd7df5LpAWmDBHS,tLNdr8FDL2LXtErJy,5
Xb7ArTqMgsTska4zg,,
zbaPd6Stzck2J3jFw,,
gQnbzzoSQGQ4NWbcR,,
vATTD5YD9MyxkiXi9,,
SXfayk6PvCqGY6JWF,,
rvgfMNzXsPoBin4MJ,,
ZMJStmMgcg5ieCMAi,,
vPJfxqj7kc7BmwyYy,,
QuTY9tgTBRDLACK2E,,
Gop7fpF6y8oPamcgm,,
YnNWGRJNqPZcdfeuS,,
NBJQEE9rNnwqEdudE,,
vfc3ZMb5jZL6XC2Lo,,
vCzuoGm9zLbHqbXyF,,
4gRfKEfL2wZb4ZRvN,,
pmghBtk4SAEPvPyk3,,
hKpB5Tp8qhGgHMoCC,,
joELjDcoXwFCnuTpH,,
Gcu8aFbNGS2GBPH9w,,
upauCaDWpJTNoagHq,,
Gw8p3P2ZQFE78guSh,,
9EmjRvbeQzZz6Phyu,,
NkR9PRWMdARs8B9eQ,,
ut2jB4GkKmgc7dfxa,,
jJDYbZr2HtyCdNw39,,
wHfKjCT8ByntZPrQG,,
xGw8m6pk7ezZMtHFF,,
gsivGiSNcQbstfEyp,,
uAsWZpTzsHpBzdigA,,
uQfdr5ukE5Wx5P2Rb,,
MTJPLp3k9TLWKphWW,,
gMmR3uLXcqxmibNHP,,
yiJnQddaZWnYuGmcG,,
Zv348YZxga6e8qfkb,,
FRrP9rXA7iMvxoiWT,,
zTNoFC4cefFSqkNKd,,
bPDb6jxZicTfagpwR,,
AxDWqPS36rQdkHc4r,,
49TxbdrvqBpwBkHPn,,
Xc4afriHTsvvp9HBn,,
nE68vcpPpjdK9dsGz,,
Rr9hsSWMEGyf7aMuB,,
jaWszFtFLJnf7wNWe,,
GQM63KrYFmNXSYxkp,,
7hsBKvtZhoL25N4e9,,
GdY64KyMtPMjvrSxH,,
y4h7QHdL8g8Sg6qvK,,
p5WK4ck8BvYtPrdu2,,
jaF2ogxpN6GvmLi4k,,
XQFfdkhHEKJQh5Aum,,
Xn5sJPmcumdWJr8jm,,
XScYsDgujkxPK2wQP,,
DmGtcFSZcYgPKz9ER,,
Mih6ZNnBmL4EdKzps,,
BszehJ7v8eEa9tCp2,,
P4sRaKHageRF3pDkz,,
6Zq2zETRacJxrPZaQ,,
YNtWJRHmhLnBxGhse,,
mpsRrrWNb4eay6Gyw,,
7fqTogKs7Be6FL7XR,,
jw8cKsDtq9eHMFvm4,,
QZjXgNmhTCyHY63uF,,
8m2azyLsD7fwiiTAr,,
tftrHpPygJi2Xu5Wg,,
zW2D6Ja8Sdqmo3z82,,
rGDbbnwP2s6p9XMQ8,,
gBQrBZtdjp5fNyYRv,QLwhPC9o59wh4nP44,5
N2HsuWqtzmq6hNtCc,,
DpJnyNPQ63p3fk9af,,
rNPo4fF8tzbWY26cb,,
m7xSmEQAbH9AnocvX,,
ADJ32ExLHeYMejDza,,
